id	swave	emp	tage	initage	nvals
1883	5	1	46	44	0
1883	6	1	46	44	0
1919	0	1	36	36	1
1919	1	1	36	36	0
1919	2	1	36	36	0
1919	3	1	37	36	0
1919	4	1	37	36	0
1919	5	1	37	36	0
1919	6	1	38	36	0
1933	0	1	38	38	1
1933	1	1	38	38	0
1933	2	1	39	38	0
1933	3	1	39	38	0
1933	4	1	39	38	0
1933	5	1	40	38	0
1933	6	1	40	38	0
1942	0	1	48	48	1
1942	1	1	49	48	0
1942	2	1	49	48	0
1942	3	1	49	48	0
1942	4	1	50	48	0
1942	5	1	50	48	0
1942	6	1	50	48	0
1965	0	1	51	51	1
1965	1	1	51	51	0
1965	2	1	52	51	0
1965	3	1	52	51	0
1965	4	1	52	51	0
1965	5	1	53	51	0
1965	6	1	53	51	0
2025	0	1	33	33	1
2025	1	1	33	33	0
2025	2	1	33	33	0
2025	3	1	34	33	0
2025	4	0	34	33	0
2025	5	0	34	33	0
2025	6	0	35	33	0
2028	0	1	30	30	1
2028	1	0	31	30	0
2028	2	1	31	30	0
2028	3	1	31	30	0
2028	4	0	32	30	0
2028	5	0	32	30	0
2028	6	0	32	30	0
2040	0	1	54	54	1
2040	1	1	54	54	0
2040	2	0	55	54	0
2040	3	1	55	54	0
2040	4	1	55	54	0
2040	5	1	56	54	0
2040	6	0	56	54	0
2066	0	1	50	50	1
2066	1	1	51	50	0
2066	2	1	51	50	0
2066	3	1	51	50	0
2066	4	1	52	50	0
2066	5	1	52	50	0
2066	6	1	52	50	0
2072	0	1	50	50	1
2072	1	1	50	50	0
2072	2	1	51	50	0
2072	3	1	51	50	0
2072	4	1	51	50	0
2072	5	1	52	50	0
2072	6	1	52	50	0
2090	0	1	38	38	1
2090	1	1	38	38	0
2090	2	1	39	38	0
2090	3	1	39	38	0
2090	4	1	39	38	0
2090	5	1	40	38	0
2090	6	1	40	38	0
2096	0	1	30	30	1
2096	1	1	30	30	0
2096	2	1	31	30	0
2096	3	1	31	30	0
2096	4	1	31	30	0
2096	5	1	32	30	0
2096	6	1	32	30	0
2113	0	1	42	42	1
2113	1	1	42	42	0
2113	2	1	43	42	0
2113	3	1	43	42	0
2113	4	1	43	42	0
2113	5	1	44	42	0
2113	6	0	44	42	0
2141	0	1	21	21	1
2141	1	1	21	21	0
2141	2	1	22	21	0
2141	3	1	22	21	0
2141	4	1	22	21	0
2141	5	0	23	21	0
2141	6	1	23	21	0
2152	0	1	22	22	1
2152	1	1	22	22	0
2152	2	1	23	22	0
2152	3	1	23	22	0
2152	4	1	23	22	0
2152	5	1	24	22	0
2152	6	1	24	22	0
2183	0	1	50	50	1
2183	1	1	50	50	0
2183	2	1	50	50	0
2183	3	1	51	50	0
2183	4	1	51	50	0
2183	5	1	51	50	0
2183	6	1	52	50	0
2241	0	1	44	44	1
2241	1	1	44	44	0
2241	2	1	44	44	0
2241	3	1	45	44	0
2241	4	1	45	44	0
2241	5	1	45	44	0
2241	6	1	46	44	0
2274	0	1	33	33	1
2274	1	1	33	33	0
2274	2	1	33	33	0
2274	3	1	34	33	0
2274	4	1	34	33	0
2274	5	1	34	33	0
2274	6	1	35	33	0
2283	0	1	42	42	1
2283	1	1	43	42	0
2283	2	1	43	42	0
2283	3	1	43	42	0
2283	4	1	44	42	0
2283	5	1	44	42	0
2283	6	1	44	42	0
2308	0	1	40	40	1
2308	1	1	40	40	0
2308	2	1	41	40	0
2308	3	1	41	40	0
2308	4	1	41	40	0
2308	5	1	42	40	0
2308	6	1	42	40	0
2309	0	1	44	44	1
2309	1	1	45	44	0
2309	2	1	45	44	0
2309	3	1	45	44	0
2309	4	1	46	44	0
2309	5	1	46	44	0
2309	6	1	46	44	0
